epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.91691,1.51912,0.05102,1,2.58193,0.00031108,0.00031108,0.00031108
2,9.62172,1.04991,0.07143,1,4.46916,0.000570576,0.000570576,0.000570576
3,14.2635,0.86585,0.04082,1,4.44,0.000766279,0.000766279,0.000766279
4,18.7321,0.69847,0.05102,1,4.2578,0.000781033,0.000781033,0.000781033
5,23.3706,0.60353,0.03061,1,4.43597,0.000671044,0.000671044,0.000671044
6,28.0598,0.55233,0.04082,1,4.5903,0.000561055,0.000561055,0.000561055
7,32.6484,0.51915,0.04082,1,5.57214,0.000451066,0.000451066,0.000451066
8,37.1476,0.43668,0.03061,1,5.81969,0.000341077,0.000341077,0.000341077
9,41.5875,0.43367,0.04082,1,6.01119,0.000231088,0.000231088,0.000231088
10,46.0932,0.43171,0.04082,1,5.86486,0.000121099,0.000121099,0.000121099
