epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.11278,0.60728,0.88542,1,0.37877,0.00046676,0.00046676,0.00046676
2,9.92465,0.42287,0.90625,1,0.25348,0.000856121,0.000856121,0.000856121
3,14.6707,0.36219,0.875,1,0.32966,0.00114976,0.00114976,0.00114976
4,19.3959,0.3186,0.9375,1,0.22927,0.0011719,0.0011719,0.0011719
5,23.9518,0.2735,0.9375,1,0.22381,0.00100687,0.00100687,0.00100687
6,28.5708,0.24183,0.92708,1,0.22742,0.000841835,0.000841835,0.000841835
7,33.1954,0.2473,0.90625,1,0.34354,0.000676802,0.000676802,0.000676802
8,37.9122,0.1913,0.9375,1,0.30165,0.000511769,0.000511769,0.000511769
9,42.5224,0.17606,0.9375,1,0.25241,0.000346736,0.000346736,0.000346736
10,47.123,0.1709,0.9375,1,0.26532,0.000181703,0.000181703,0.000181703
