epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.16027,0.5469,0.79,1,0.48479,0.00046676,0.00046676,0.00046676
2,10.0093,0.3861,0.8,1,0.50219,0.000856121,0.000856121,0.000856121
3,14.6675,0.36404,0.78,1,0.42815,0.00114976,0.00114976,0.00114976
4,19.1737,0.30864,0.81,1,0.52594,0.0011719,0.0011719,0.0011719
5,23.7653,0.25191,0.79,1,0.56166,0.00100687,0.00100687,0.00100687
6,28.3622,0.25756,0.81,1,0.84226,0.000841835,0.000841835,0.000841835
7,33.0232,0.26572,0.79,1,0.62242,0.000676802,0.000676802,0.000676802
8,37.5833,0.22716,0.78,1,0.48355,0.000511769,0.000511769,0.000511769
9,42.1006,0.17317,0.79,1,0.63468,0.000346736,0.000346736,0.000346736
10,46.7288,0.18637,0.78,1,0.98139,0.000181703,0.000181703,0.000181703
