epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.36661,1.48541,0.41667,1,1.44265,0.00027775,0.00027775,0.00027775
2,6.77091,1.01928,0.50694,1,1.18331,0.000510516,0.000510516,0.000510516
3,10.0858,0.75627,0.5625,1,1.03611,0.000686087,0.000686087,0.000686087
4,14.2576,0.64108,0.57639,1,1.04243,0.000781033,0.000781033,0.000781033
5,18.3272,0.56353,0.64583,1,0.78029,0.000671044,0.000671044,0.000671044
6,22.57,0.4419,0.68056,1,0.77954,0.000561055,0.000561055,0.000561055
7,26.9415,0.41987,0.65972,1,0.83222,0.000451066,0.000451066,0.000451066
8,31.2493,0.40524,0.70139,1,0.71275,0.000341077,0.000341077,0.000341077
9,35.5195,0.3357,0.67361,1,0.78284,0.000231088,0.000231088,0.000231088
10,39.8104,0.34116,0.68056,1,0.80621,0.000121099,0.000121099,0.000121099
