epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.76735,0.5987,0.86364,1,0.40325,0.00043342,0.00043342,0.00043342
2,9.54468,0.43657,0.86364,1,0.28054,0.000796043,0.000796043,0.000796043
3,14.1732,0.33864,0.87879,1,0.38021,0.00106955,0.00106955,0.00106955
4,18.8002,0.31787,0.87121,1,0.44109,0.0011719,0.0011719,0.0011719
5,23.3453,0.25975,0.87121,1,0.44782,0.00100687,0.00100687,0.00100687
6,27.9854,0.22322,0.90152,1,0.81108,0.000841835,0.000841835,0.000841835
7,32.5208,0.24299,0.87879,1,0.56962,0.000676802,0.000676802,0.000676802
8,36.9821,0.2126,0.87879,1,0.45508,0.000511769,0.000511769,0.000511769
9,41.4693,0.20244,0.90909,1,0.74262,0.000346736,0.000346736,0.000346736
10,45.9337,0.16565,0.90909,1,0.40617,0.000181703,0.000181703,0.000181703
