epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.29226,1.51561,0.53165,1,1.15996,0.00032219,0.00032219,0.00032219
2,10.3273,1.04647,0.64557,1,0.88489,0.000590596,0.000590596,0.000590596
3,15.1716,0.79569,0.74684,1,0.68065,0.00079301,0.00079301,0.00079301
4,20.119,0.62836,0.74684,1,0.58101,0.000781033,0.000781033,0.000781033
5,24.9737,0.54545,0.79747,1,0.59337,0.000671044,0.000671044,0.000671044
6,29.6456,0.51894,0.75949,1,0.47849,0.000561055,0.000561055,0.000561055
7,34.39,0.46962,0.81013,1,0.51804,0.000451066,0.000451066,0.000451066
8,38.9854,0.45978,0.75949,1,0.52856,0.000341077,0.000341077,0.000341077
9,43.7552,0.42569,0.79747,1,0.54266,0.000231088,0.000231088,0.000231088
10,48.3951,0.41881,0.79747,1,0.54897,0.000121099,0.000121099,0.000121099
