epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.89576,1.53873,0.66187,1,1.14595,0.00028886,0.00028886,0.00028886
2,9.44994,1.06658,0.76259,1,0.71734,0.000530536,0.000530536,0.000530536
3,13.9407,0.87269,0.80576,1,0.58847,0.000712818,0.000712818,0.000712818
4,18.2722,0.71458,0.83453,1,0.41796,0.000781033,0.000781033,0.000781033
5,22.7037,0.60999,0.85612,1,0.42271,0.000671044,0.000671044,0.000671044
6,27.2467,0.57413,0.88489,1,0.36701,0.000561055,0.000561055,0.000561055
7,31.6956,0.54392,0.84892,1,0.3643,0.000451066,0.000451066,0.000451066
8,36.0965,0.54815,0.84892,1,0.42393,0.000341077,0.000341077,0.000341077
9,40.4512,0.49435,0.83453,1,0.38155,0.000231088,0.000231088,0.000231088
10,44.7819,0.49828,0.86331,1,0.3788,0.000121099,0.000121099,0.000121099
